"","year","month","weather_region","vehicle","model","region","season","distance","efficiency","kwh","economy","wh","HDD","CDD","avg_temp","time_month","date","predict_vehicle_econ","wh_pred"
"24167",2022,1,"auckland","0fe55ba1","Nissan Leaf (30 kWh)","Auckland","Summer",940,7.1,132.4,140.845070422535,132400,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,139.251257330884,130896.181891031
"24168",2022,1,"auckland","b7811bca","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",189,6.21,30.4,161.030595813205,30400,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,143.973120809283,27210.9198329544
"24169",2022,1,"auckland","d48fc3e2","BMW i3","Auckland","Summer",162,7.6,21.3,131.578947368421,21300,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,132.376016914668,21444.9147401763
"24170",2022,1,"auckland","ecad74f4","Nissan Leaf (24 kWh) 2011-2012","Auckland","Summer",822,6.3,130.5,158.730158730159,130500,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,163.106238161283,134073.327768574
"24171",2022,1,"auckland","a32c5768","Nissan Leaf (30 kWh)","Auckland","Summer",479,8.4,57,119.047619047619,57000,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,118.067503611184,56554.334229757
"24172",2022,1,"auckland","0009bcb4","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",1365,7.9,172.8,126.582278481013,172800,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,130.720386915147,178433.328139176
"24173",2022,1,"auckland","cdfd41ce","Hyundai Kona (EV)","Auckland","Summer",620,7.2,86.1,138.888888888889,86100,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,130.550985670556,80941.6111157448
"24174",2022,1,"auckland","ebe2a2b8","Nissan Leaf (30 kWh)","Auckland","Summer",1045,6.8,153.7,147.058823529412,153700,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,146.409455996172,152997.881516
"24175",2022,1,"auckland","bec8a880","Nissan Leaf (30 kWh)","Auckland","Summer",2133.99000000001,6.6,323.3,151.515151515152,323300,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,149.654009971555,319360.160739199
"24176",2022,1,"auckland","40a7e7ff","Nissan Leaf (24 kWh) 2011-2012","Auckland","Summer",1211,7.4,163.6,135.135135135135,163600,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,134.686225084104,163105.01857685
"24177",2022,1,"auckland","2289b61a","MG ZS EV","Auckland","Summer",592,6.7,88.4,149.253731343284,88400,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,151.150311146083,89480.9841984813
"24178",2022,1,"auckland","76f63382","Nissan Leaf (30 kWh)","Auckland","Summer",1700,7.2,236.1,138.888888888889,236100,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,138.791305033249,235945.218556523
