"","Month","weather_region","HDD","CDD","model","pred_econ","pred_base_econ"
"1",1,"clyde",1.02930107526882,0.581474014336918,"Nissan Leaf (24 kWh) 2013-2016",140.5447090888,137.071742199453
"2",2,"clyde",1.44717261904762,0.309350198412698,"Nissan Leaf (24 kWh) 2013-2016",140.950385456527,137.071742199453
"3",3,"clyde",2.15627240143369,0.106160394265233,"Nissan Leaf (24 kWh) 2013-2016",142.149799774821,137.071742199453
"4",4,"clyde",4.86025462962963,0.00157407407407407,"Nissan Leaf (24 kWh) 2013-2016",148.047964053575,137.071742199453
"5",5,"clyde",7.96680107526882,0,"Nissan Leaf (24 kWh) 2013-2016",155.058576416586,137.071742199453
"6",6,"clyde",10.7844675925926,0,"Nissan Leaf (24 kWh) 2013-2016",161.420088402068,137.071742199453
"7",7,"clyde",10.8285170250896,0,"Nissan Leaf (24 kWh) 2013-2016",161.519539842137,137.071742199453
"8",8,"clyde",8.19881272401434,0,"Nissan Leaf (24 kWh) 2013-2016",155.582394574339,137.071742199453
"9",9,"clyde",6.07618055555556,0,"Nissan Leaf (24 kWh) 2013-2016",150.790077989889,137.071742199453
"10",10,"clyde",4.08053315412186,0.0208557347670251,"Nissan Leaf (24 kWh) 2013-2016",146.325672311852,137.071742199453
"11",11,"clyde",2.0487962962963,0.0769907407407407,"Nissan Leaf (24 kWh) 2013-2016",141.849504343181,137.071742199453
"12",12,"clyde",1.27809139784946,0.219489247311828,"Nissan Leaf (24 kWh) 2013-2016",140.391066578337,137.071742199453
"13",1,"clyde",1.02930107526882,0.581474014336918,"Nissan Leaf (24 kWh) 2011-2012",153.206048029778,147.983954838163
"14",2,"clyde",1.44717261904762,0.309350198412698,"Nissan Leaf (24 kWh) 2011-2012",154.321827714945,147.983954838163
"15",3,"clyde",2.15627240143369,0.106160394265233,"Nissan Leaf (24 kWh) 2011-2012",156.726239395143,147.983954838163
"16",4,"clyde",4.86025462962963,0.00157407407407407,"Nissan Leaf (24 kWh) 2011-2012",167.219372580317,147.983954838163
"17",5,"clyde",7.96680107526882,0,"Nissan Leaf (24 kWh) 2011-2012",179.509044907262,147.983954838163
"18",6,"clyde",10.7844675925926,0,"Nissan Leaf (24 kWh) 2011-2012",190.65871337571,147.983954838163
"19",7,"clyde",10.8285170250896,0,"Nissan Leaf (24 kWh) 2011-2012",190.833019513624,147.983954838163
"20",8,"clyde",8.19881272401434,0,"Nissan Leaf (24 kWh) 2011-2012",180.427128345606,147.983954838163
"21",9,"clyde",6.07618055555556,0,"Nissan Leaf (24 kWh) 2011-2012",172.02775077084,147.983954838163
"22",10,"clyde",4.08053315412186,0.0208557347670251,"Nissan Leaf (24 kWh) 2011-2012",164.172073633197,147.983954838163
"23",11,"clyde",2.0487962962963,0.0769907407407407,"Nissan Leaf (24 kWh) 2011-2012",156.243306165022,147.983954838163
"24",12,"clyde",1.27809139784946,0.219489247311828,"Nissan Leaf (24 kWh) 2011-2012",153.475183370647,147.983954838163
